id,pdf,image,clicks,impressions,text,url,spend_amount,spend_currency,created,ended
1,data/2015-10/P(1)0001736.pdf,images/0001.png,6,358,"Instgogogo
",https://instagram.Com/us_daily/,161.23,RUB,2015-10-25T06:28:33-07:00,2015-10-27T23:59:00-07:00
5,data/2016-06/P(1)0000001.pdf,,201,29786,"WHERE is your VOICE?
",https://www.facebook.com/GovSpending-1651761351759857/,3714.15,RUB,2016-06-15T03:39:52-07:00,
6,data/2016-05/P(1)0001744.pdf,images/0006.png,0,0,"Conservative Christians. Pro—Iife/ gun/ police/ military. Follow!
",https://www.facebook.com/Bat-240131319678646/,0.00,USD,2016-05-12T04:06:17-07:00,
7,data/2016-05/P(1)0001746.pdf,,54,23408,"Conservative Christians. Pro—Iife/ gun/ police/ military. Follow!
",https://www.facebook.com/Bat-240131319678646/,2868.56,RUB,2016-05-13T01:18:08-07:00,
10,data/2015-11/P(1)0001747.pdf,images/0010.png,11,1625,"Unbelievable amount of the US government's waste. Join us to learn more
about Goverment spending statistics! The US Gov Spending Stats Instalol

",https://instagram.Com/gov_spending/,662.39,RUB,2015-11-16T05:49:20-08:00,
12,data/2016-08/P(1)0000002.pdf,,625,44111,"It's time for us to understand that we do deserve all best. It's time for our
people to stand up and use all the opportunities of this life. Follow black pride
us, if you agree!

",https://www.facebook.com/Bat-240131319678646/,4893.72,RUB,2016-08-17T04:17:52-07:00,
14,data/2015-11/P(1)0001751.pdf,images/0014.png,10,1598,"This military campaign is very ambiguous given that it has cost nearly 2,500
American lives and hundreds of billions of dollars. The goal was to ""disrupt
the use of Afghanistan as a terrorist base of operations."" Well, the
intervention deprived aI-Qaida of a sanctuary. But aI-Qaida — even after its
leader Osama bin Laden was killed by US. commandos — has spawned cells
elsewhere and inspired other extremists in Syria and Iraq. And now ISIS is
rising as the most powerful terrorist organisation in the world. So, the question
is whether it's worth to risk the lives of thousands of American soldiers for the
mission that hardly can be called successful? It seems that Obama should
review his military strategy without delay.Joih us! Veterans USA ( @veterans
GovSpending

",https://instagram.Com/veterans_us/,659.54,RUB,2015-11-16T05:17:56-08:00,
15,data/2015-11/P(1)0001753.pdf,images/0015.png,12,1614,"And what would you Choose if u were a president: to create 11200 military-
related jobs or to create 26700 jobs in education? Join us! Learn more! The
US Gov Spending Stats Instalol

",https://instagram.Com/gov_spending/,596.63,RUB,2015-11-17T07:07:36-08:00,
16,data/2016-05/P(1)0000003.pdf,images/0016.png,53,21093,"A Wounded Warrior and his service dog. Support our Veterans - Follow! The
US Gov Spending Stats Instalol

",https://www.instagram.Com/veterahs_us/,2131.44,RUB,2016-05-12T02:37:39-07:00,
17,data/2015-11/P(1)0001755.pdf,images/0017.png,2,1872,"What do you know about PTSD? There is no greater agony. PTSD affects a
person's memory, emotional responses, intellectual processes and nervous
system. Nearly 31% of veterans fight this agony every day. Do you want to
learn more? Click here! Veterans USA ( @veterans GovSpending

",https://instagram.Com/veterans_us/,366.41,RUB,2015-11-18T02:43:22-08:00,2015-11-21T10:28:00-08:00
